Movie_Title,Year,Rating,Runtime(Mins),main_genre,side_genre,text_data,cluster_id
Sweet November,2001,6.7,119,Drama, Romance,Drama  Romance,13
Where the Heart Is,2000,6.7,120,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
But I'm a Cheerleader,1999,6.7,85,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
The Legend of Bagger Vance,2000,6.7,126,Drama," Fantasy,  Sport","Drama  Fantasy,  Sport",164
"Mystery, Alaska",1999,6.7,119,Comedy," Drama,  Sport","Comedy  Drama,  Sport",56
You've Got Mail,1998,6.7,119,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
Blast from the Past,1999,6.7,112,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
The Shipping News,2001,6.7,111,Drama,Drama,Drama Drama,11
City of Angels,1998,6.7,114,Drama," Fantasy,  Romance","Drama  Fantasy,  Romance",72
Sliding Doors,1998,6.7,99,Comedy," Drama,  Fantasy","Comedy  Drama,  Fantasy",57
Primary Colors,1998,6.7,143,Comedy, Drama,Comedy  Drama,10
Romeo + Juliet,1996,6.7,120,Drama, Romance,Drama  Romance,13
Marvin's Room,1996,6.7,98,Drama,Drama,Drama Drama,11
While You Were Sleeping,1995,6.7,103,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
A Walk in the Clouds,1995,6.7,102,Drama, Romance,Drama  Romance,13
Now and Then,1995,6.7,100,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
Empire Records,1995,6.7,90,Comedy," Drama,  Music","Comedy  Drama,  Music",34
Don Juan DeMarco,1994,6.7,97,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
The Man Without a Face,1993,6.7,115,Drama,Drama,Drama Drama,11
Singles,1992,6.7,99,Comedy," Drama,  Music","Comedy  Drama,  Music",34
The Hand That Rocks the Cradle,1992,6.7,110,Drama, Thriller,Drama  Thriller,54
Cronos,1993,6.7,94,Drama," Fantasy,  Horror","Drama  Fantasy,  Horror",52
Regarding Henry,1991,6.7,108,Drama, Romance,Drama  Romance,13
L.A. Story,1991,6.7,95,Comedy," Drama,  Fantasy","Comedy  Drama,  Fantasy",57
Frankie and Johnny,1991,6.7,118,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
Mermaids,1990,6.7,110,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
Can't Buy Me Love,1987,6.7,94,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
Pretty in Pink,1986,6.7,97,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
Cocoon,1985,6.7,117,Comedy," Drama,  Sci-Fi","Comedy  Drama,  Sci-Fi",32
THX 1138,1971,6.7,86,Drama," Sci-Fi,  Thriller","Drama  Sci-Fi,  Thriller",119
The Green Knight,2021,6.6,130,Adventure," Drama,  Fantasy","Adventure  Drama,  Fantasy",132
Happiest Season,2020,6.6,102,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
I'm Thinking of Ending Things,2020,6.6,134,Drama, Thriller,Drama  Thriller,54
Glass,2019,6.6,129,Drama," Horror,  Sci-Fi","Drama  Horror,  Sci-Fi",64
Disobedience,2017,6.6,114,Drama, Romance,Drama  Romance,13
Ingrid Goes West,2017,6.6,98,Comedy, Drama,Comedy  Drama,10
Midnight Sun,2018,6.6,91,Drama, Romance,Drama  Romance,13
Fatherhood,2021,6.6,109,Comedy, Drama,Comedy  Drama,10
Café Society,2016,6.6,96,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
Max,2015,6.6,111,Adventure," Drama,  Family","Adventure  Drama,  Family",111
"Men, Women & Children",2014,6.6,119,Comedy, Drama,Comedy  Drama,10
Wish I Was Here,2014,6.6,106,Comedy, Drama,Comedy  Drama,10
Burnt,2015,6.6,101,Comedy, Drama,Comedy  Drama,10
Nymphomaniac: Vol. II,2013,6.6,124,Drama,Drama,Drama Drama,11
Bad Words,2013,6.6,89,Comedy, Drama,Comedy  Drama,10
Promised Land,2012,6.6,106,Drama,Drama,Drama Drama,11
The Best of Me,2014,6.6,118,Drama, Romance,Drama  Romance,13
